,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,TitleCanonical,ReleaseYear,TMDBLanguage,TMDBPoster,TMDBGenres,TMDBCountry
814,I Spit on Your Grave,tt1242432,I Spit on Your Grave (2010),No,,6800000,108,3800000,I Spit on Your Grave,2010.0,movie,I Spit on Your Grave,I Spit on Your Grave,2010,108,"Horror,Thriller",I Spit on Your Grave,2010,en,https://image.tmdb.org/t/p/w500/4VZ9eqel8Fsp54KMnesr3xIc67N.jpg,Thriller|Crime|Horror,US
809,Ballot,tt33059549,Ballot // Balota,Yes,,6700000,106,3800000,Ballot,1000.0,movie,Ballot,Balota,2024,102,"Comedy,Drama,Thriller",Balota,2024,tl,https://image.tmdb.org/t/p/w500/29IpnkqWIkFvSlynGu7X6ylAdiL.jpg,Drama|Thriller,PH
824,Think Like a Man Too,tt2239832,Think Like a Man Too,No,,6700000,105,3800000,Think Like a Man Too,1000.0,movie,Think Like a Man Too,Think Like a Man Too,2014,106,"Comedy,Romance",Think Like a Man Too,2014,en,https://image.tmdb.org/t/p/w500/bsKfhf0y9Zx7h4j5GHu1JANpKwl.jpg,Comedy|Romance,US
825,Transformers One,tt8864596,Transformers One,No,,6600000,104,3800000,Transformers One,1000.0,movie,Transformers One,Transformers One,2024,104,"Action,Adventure,Animation",Transformers One,2024,en,https://image.tmdb.org/t/p/w500/iRCgqpdVE4wyLQvGYU3ZP7pAtUc.jpg,Animation|Science Fiction|Adventure|Family,US
819,Old Dads,tt18394190,Old Dads,Yes,2023-10-20,6500000,102,3800000,Old Dads,2023.0,movie,Old Dads,Old Dads,2023,104,Comedy,Old Dads,2023,en,https://image.tmdb.org/t/p/w500/krA2iXd1PK1vhg4jeWfbSD4fSJi.jpg,Comedy,US
823,Sextuplets,tt8976710,Sextuplets,Yes,2019-08-16,6400000,100,3800000,Sextuplets,2019.0,movie,Sextuplets,Sextuplets,2019,97,Comedy,Sextuplets,2019,en,https://image.tmdb.org/t/p/w500/ztGSEcowBoHyRwcK0s5kIKVVXwy.jpg,Comedy,US
822,Ride Along,tt1408253,Ride Along (2014),No,,6300000,99,3800000,Ride Along,2014.0,movie,Ride Along,Ride Along,2014,99,"Action,Comedy,Crime",Ride Along,2014,en,https://image.tmdb.org/t/p/w500/qrt65VVaP5DEEBZgB5XYctA82Qv.jpg,Action|Comedy,US
808,Agent Game,tt14168394,Agent Game,No,,5700000,90,3800000,Agent Game,1000.0,movie,Agent Game,Agent Game,2022,90,"Action,Thriller",Agent Game,2022,en,https://image.tmdb.org/t/p/w500/yG05YYiKHNtbsqFUfrmCxGQj5zc.jpg,Action|Thriller,US
815,Inside the Mind of a Dog,tt32907397,Inside the Mind of a Dog,Yes,2024-08-09,4800000,75,3800000,Inside the Mind of a Dog,2024.0,movie,Inside the Mind of a Dog,Inside the Mind of a Dog,2024,75,Documentary,Inside the Mind of a Dog,2024,en,https://image.tmdb.org/t/p/w500/rajrUCW4fkvdK4EDickfpK9wLbO.jpg,Documentary,US
818,"Miraculous World: New York, United Heroez",tt12816348,"Miraculous World: New York, United Heroez",No,,3900000,61,3800000,"Miraculous World: New York, United Heroez",1000.0,tvEpisode,"Miraculous World: New York, United Heroez","Miraculous World: New York, United Heroez",2020,52,"Action,Adventure,Animation","Miraculous World: New York, United HeroeZ",2020,fr,https://image.tmdb.org/t/p/w500/9YbyvcrHmY2SVbdfXpb8mC4Fy0g.jpg,Animation|TV Movie|Fantasy|Action,BR
834,Jigra,tt26733317,Jigra // _____,No,,9400000,155,3700000,Jigra,1000.0,movie,Jigra,Jigra,2024,153,"Action,Crime,Drama",Jigra,2024,hi,https://image.tmdb.org/t/p/w500/mhnT27mgtiMNowOhAlMWSqBoSyb.jpg,Crime|Drama|Thriller,IN
842,Ready Player One,tt1677720,Ready Player One,No,,8600000,140,3700000,Ready Player One,1000.0,movie,Ready Player One,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",Ready Player One,2018,en,https://image.tmdb.org/t/p/w500/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,Adventure|Action|Science Fiction,US
832,Furious 7,tt2820852,Furious 7,No,,8400000,139,3700000,Furious 7,1000.0,movie,Furious 7,Fast & Furious 7,2015,137,"Action,Thriller",Furious 7,2015,en,https://image.tmdb.org/t/p/w500/ktofZ9Htrjiy0P6LEowsDaxd3Ri.jpg,Action|Crime|Thriller,US
827,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,tt12226632,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,No,,7900000,129,3700000,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,1000.0,movie,Big George Foreman,Big George Foreman,2023,129,"Biography,Drama,Sport",Big George Foreman,2023,en,https://image.tmdb.org/t/p/w500/fdVd6thTstt0MQ4dUC1IXiOXpxv.jpg,History|Drama,US
841,Power Rangers,tt3717490,Power Rangers (2017),No,,7600000,124,3700000,Power Rangers,2017.0,movie,Power Rangers,Power Rangers,2017,124,"Action,Adventure,Fantasy",Power Rangers,2017,en,https://image.tmdb.org/t/p/w500/bKYKyyIv5YnisxjZtDreWtYA386.jpg,Action|Adventure|Science Fiction,US
831,Finding ÔOhana,tt10332588,Finding ÔOhana,Yes,2021-01-29,7500000,123,3700000,Finding ÔOhana,2021.0,movie,Finding 'Ohana,Finding 'Ohana,2021,123,"Action,Adventure,Comedy",Finding ʻOhana,2021,en,https://image.tmdb.org/t/p/w500/tTWl37oAYRXS3D5mEHmjveXXyrN.jpg,Adventure|Action|Comedy|Family,US
839,Nosso Sonho,tt15060662,Nosso Sonho,No,,7500000,121,3700000,Nosso Sonho,1000.0,movie,Nosso Sonho,Nosso Sonho,2023,117,"Biography,Comedy,Drama",Our Dream,2023,pt,https://image.tmdb.org/t/p/w500/oRBUJX9a0gZzZ8KQIJ41CzJeErW.jpg,Drama|Comedy|Music,BR
847,The Hunger Games: Mockingjay - Part 1,tt1951265,The Hunger Games: Mockingjay - Part 1,No,,7500000,123,3700000,The Hunger Games: Mockingjay - Part 1,1000.0,movie,The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,2014,123,"Action,Adventure,Sci-Fi",The Hunger Games: Mockingjay - Part 1,2014,en,https://image.tmdb.org/t/p/w500/4FAA18ZIja70d1Tu5hr5cj2q1sB.jpg,Science Fiction|Adventure|Thriller,US
840,Operation Fortune: Ruse de guerre,tt7985704,Operation Fortune: Ruse de guerre,No,,7100000,113,3700000,Operation Fortune: Ruse de guerre,1000.0,movie,Operation Fortune: Ruse de Guerre,Operation Fortune: Ruse de Guerre,2023,114,"Action,Comedy,Thriller",Operation Fortune: Ruse de Guerre,2023,en,https://image.tmdb.org/t/p/w500/uo7vWfQUlVwueYTDRicXOJa8Oow.jpg,Action|Comedy|Thriller,GB
846,The Gentlemen,tt8367814,The Gentlemen (2020),No,,7000000,113,3700000,The Gentlemen,2020.0,movie,The Gentlemen,The Gentlemen,2019,113,"Action,Crime",The Gentlemen,2020,en,https://image.tmdb.org/t/p/w500/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,Comedy|Crime,GB
851,Xtreme,tt11658120,Xtreme // Xtremo,Yes,2021-06-04,7000000,111,3700000,Xtreme,2021.0,movie,Xtreme,Xtremo,2021,111,"Action,Crime,Drama",Xtreme,2021,es,https://image.tmdb.org/t/p/w500/cwUhVcDeMYYeu8fq5q1OPOoSbZ7.jpg,Action|Adventure|Crime,ES
849,The Mummy,tt2345759,The Mummy (2017),No,,6800000,110,3700000,The Mummy,2017.0,movie,The Mummy,The Mummy,2017,110,"Action,Adventure,Fantasy",The Mummy,2017,en,https://image.tmdb.org/t/p/w500/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,Fantasy|Thriller|Action|Adventure|Horror,US
833,Inside,tt14781036,Inside (2023),No,,6500000,106,3700000,Inside,2023.0,movie,Inside,Inside,2023,105,"Drama,Thriller",Inside,2023,en,https://image.tmdb.org/t/p/w500/dXsiWJWwGwYwOQ6DfYFt5pPBMwT.jpg,Thriller|Drama,BE
835,Jujutsu Kaisen 0: The Movie,tt29391476,Jujutsu Kaisen 0: The Movie // ___ ____ 0,No,,6500000,105,3700000,Jujutsu Kaisen 0: The Movie,1000.0,,,,,,,Jujutsu Kaisen 0,2021,ja,https://image.tmdb.org/t/p/w500/23oJaeBh0FDk2mQ2P240PU9Xxfh.jpg,Animation|Action|Fantasy,JP
836,Laura,tt31031881,Laura (2024),No,,6400000,104,3700000,Laura,2024.0,movie,Laura,Laura,2024,104,"Biography,Drama",Laura,2024,id,https://image.tmdb.org/t/p/w500/zVZIcXVMFdbzTTHOThrZX7o2DO7.jpg,Drama,ID
843,Skyscraper,tt5758778,Skyscraper (2018),No,,6300000,102,3700000,Skyscraper,2018.0,movie,Skyscraper,Skyscraper,2018,102,"Action,Adventure,Thriller",Skyscraper,2018,en,https://image.tmdb.org/t/p/w500/52ml62vClzrlqvXZq2FEW6UF6c1.jpg,Action|Thriller|Adventure,JP
838,Nocturnal,tt34574758,Nocturnal // ___,No,,6100000,100,3700000,Nocturnal,1000.0,movie,Nocturnal,Beurokeun,2025,99,"Crime,Drama,Thriller",Nocturnal,2025,ko,https://image.tmdb.org/t/p/w500/3C1vdtKVdtBCQaM2SZG9YUe6tuW.jpg,Mystery|Thriller,KR
850,Toscana,tt13276352,Toscana,Yes,2022-05-18,5800000,90,3700000,Toscana,2022.0,movie,Toscana,Toscana,2022,90,"Drama,Romance",Toscana,2022,da,https://image.tmdb.org/t/p/w500/k9JHEiBkMsqCR5vKREjdOvz91u6.jpg,Comedy|Romance|Drama,DK
829,Chickenhare and the Hamster of Darkness,tt12532368,Chickenhare and the Hamster of Darkness,No,2022-06-10,5700000,91,3700000,Chickenhare and the Hamster of Darkness,2022.0,movie,Chickenhare and the Hamster of Darkness,Hopper et le hamster des ténèbres,2022,91,"Adventure,Animation,Comedy",Chickenhare and the Hamster of Darkness,2022,en,https://image.tmdb.org/t/p/w500/2v6f1EqTo4FUxVT9MDXpF6158AX.jpg,Animation|Adventure|Comedy|Family|Fantasy,BE
828,Blue Story,tt9285882,Blue Story,No,,5600000,91,3700000,Blue Story,1000.0,movie,Blue Story,Blue Story,2019,91,"Crime,Drama,Musical",Blue Story,2019,en,https://image.tmdb.org/t/p/w500/qI4Rw83LxKq07xIjM3RcbKcWpAM.jpg,Crime|Drama|Romance,GB
848,The Little Hours,tt5666304,The Little Hours,No,,5600000,90,3700000,The Little Hours,1000.0,movie,The Little Hours,The Little Hours,2017,89,"Comedy,Romance",The Little Hours,2017,en,https://image.tmdb.org/t/p/w500/wS69OOwBJzimoLIcmYMSVkmhCZM.jpg,Comedy,CA
837,National Security,tt0271668,National Security (2003),No,,5500000,89,3700000,National Security,2003.0,movie,National Security,National Security,2003,88,"Action,Comedy,Crime",National Security,2003,en,https://image.tmdb.org/t/p/w500/8k6Qk2LiC3H1WWHxZXoXOVq89cS.jpg,Action|Comedy|Crime,GB
844,Surf's Up,tt0423294,Surf's Up,No,,5300000,85,3700000,Surf's Up,1000.0,movie,Surf's Up,Surf's Up,2007,85,"Adventure,Animation,Comedy",Surf's Up,2007,en,https://image.tmdb.org/t/p/w500/lenJ0hOmlks0dyxzNJoNVQlR3qR.jpg,Animation|Comedy|Family,US
830,Extinct,tt8241000,Extinct,No,2021-11-19,5200000,84,3700000,Extinct,2021.0,movie,Extinct,Extinct,2021,84,"Adventure,Animation,Comedy",Extinct,2021,en,https://image.tmdb.org/t/p/w500/kchu0regBPDjWORUzvTblyoA5aE.jpg,Animation|Comedy|Family|Adventure,CN
845,Sweet Bobby: My Catfish Nightmare,tt33484071,Sweet Bobby: My Catfish Nightmare,Yes,2024-10-16,5000000,82,3700000,Sweet Bobby: My Catfish Nightmare,2024.0,movie,Sweet Bobby: My Catfish Nightmare,Sweet Bobby: My Catfish Nightmare,2024,82,Documentary,Sweet Bobby: My Catfish Nightmare,2024,en,https://image.tmdb.org/t/p/w500/vOYSWDkW3lKOZNHkR4WdHG0sb8R.jpg,Documentary,GB
30,Dune,tt1160419,Dune (2021),No,,9300000,155,3600000,Dune,2021.0,movie,Dune: Part One,Dune: Part One,2021.0,155.0,"Action,Adventure,Drama",Dune,2021,en,https://image.tmdb.org/t/p/w500/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,Science Fiction|Adventure,US
880,The Hunger Games: Mockingjay - Part 2,tt1951266,The Hunger Games: Mockingjay - Part 2,No,,8200000,137,3600000,The Hunger Games: Mockingjay - Part 2,1000.0,movie,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015,137,"Action,Adventure,Sci-Fi",The Hunger Games: Mockingjay - Part 2,2015,en,https://image.tmdb.org/t/p/w500/lImKHDfExAulp16grYm8zD5eONE.jpg,Action|Adventure|Science Fiction,DE
883,The Woman King,tt8093700,The Woman King,No,,8200000,135,3600000,The Woman King,1000.0,movie,The Woman King,The Woman King,2022,135,"Action,Drama,History",The Woman King,2022,en,https://image.tmdb.org/t/p/w500/438QXt1E3WJWb3PqNniK0tAE5c1.jpg,Action|Drama|History,CA
