,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,TitleCanonical,ReleaseYear,TMDBLanguage,TMDBPoster,TMDBGenres,TMDBCountry
269,Alvin and the Chipmunks: Chipwrecked,tt1615918,Alvin and the Chipmunks: Chipwrecked,No,,13900000,87,9600000,Alvin and the Chipmunks: Chipwrecked,1000.0,movie,Alvin and the Chipmunks: Chipwrecked,Alvin and the Chipmunks: Chipwrecked,2011,87,"Adventure,Animation,Comedy",Alvin and the Chipmunks: Chipwrecked,2011,en,https://image.tmdb.org/t/p/w500/npOXWVoZyl8UrF2wtByHtfmsWSX.jpg,Comedy|Fantasy|Family|Music|Animation,US
279,Chhaava,tt27922706,Chhaava // ____,Yes,,24900000,161,9500000,Chhaava,1000.0,movie,Chhaava,Chhaava,2025,161,"Action,Drama,History",Chhaava,2025,hi,https://image.tmdb.org/t/p/w500/ubRsrzb6NRW8YhVTJ6jG1kpNvCi.jpg,History|Action|Drama,IN
282,White House Down,tt2334879,White House Down,No,,20800000,131,9500000,White House Down,1000.0,movie,White House Down,White House Down,2013,131,"Action,Drama,Thriller",White House Down,2013,en,https://image.tmdb.org/t/p/w500/6TeIVKPw7nXXWy2zKmDmlnSwzb7.jpg,Action|Drama|Thriller,US
277,6 Underground,tt8106534,6 Underground,Yes,2019-12-13,20500000,128,9500000,6 Underground,2019.0,movie,6 Underground,6 Underground,2019,128,"Action,Thriller",6 Underground,2019,en,https://image.tmdb.org/t/p/w500/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,Action|Comedy|Thriller,US
281,Jurassic World,tt0369610,Jurassic World,No,,19700000,124,9500000,Jurassic World,1000.0,movie,Jurassic World,Jurassic World,2015,124,"Action,Adventure,Sci-Fi",Jurassic World,2015,en,https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Action|Adventure|Science Fiction|Thriller,US
280,Jumanji: Welcome to the Jungle,tt2283362,Jumanji: Welcome to the Jungle,No,,18900000,119,9500000,Jumanji: Welcome to the Jungle,1000.0,movie,Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017,119,"Action,Adventure,Comedy",Jumanji: Welcome to the Jungle,2017,en,https://image.tmdb.org/t/p/w500/pSgXKPU5h6U89ipF7HBYajvYt7j.jpg,Adventure|Comedy|Fantasy|Action,US
278,Beetlejuice Beetlejuice,tt2049403,Beetlejuice Beetlejuice,No,,16700000,105,9500000,Beetlejuice Beetlejuice,1000.0,movie,Beetlejuice Beetlejuice,Beetlejuice Beetlejuice,2024,105,"Comedy,Fantasy,Horror",Beetlejuice Beetlejuice,2024,en,https://image.tmdb.org/t/p/w500/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,Comedy|Fantasy|Horror,US
284,The Fate of the Furious,tt4630562,The Fate of the Furious,No,,21400000,136,9400000,The Fate of the Furious,1000.0,movie,The Fate of the Furious,The Fate of the Furious,2017,136,"Action,Crime,Thriller",The Fate of the Furious,2017,en,https://image.tmdb.org/t/p/w500/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,Action|Crime|Thriller,US
9,Mary Mother of Jesus,tt32084246,Mary Mother of Jesus,No,2024-12-06,17600000,112,9400000,Mary Mother of Jesus,2024.0,movie,Mary,Mary,2024.0,112.0,Drama,Mary,2024,en,https://image.tmdb.org/t/p/w500/wpApuf1xky92ug8n5mP5aP7DiDy.jpg,Drama|History|Action,US
285,Rush Hour 2,tt0266915,Rush Hour 2,No,,14000000,90,9300000,Rush Hour 2,1000.0,movie,Rush Hour 2,Rush Hour 2,2001,90,"Action,Comedy,Crime",Rush Hour 2,2001,en,https://image.tmdb.org/t/p/w500/nmllsevWzx7XtrlARs3hHJn5Pf.jpg,Action|Comedy|Crime,US
288,Officer on Duty,tt34388152,Officer on Duty,No,,20600000,134,9200000,Officer on Duty,1000.0,movie,Officer on Duty,Officer on Duty,2025,134,"Action,Crime,Thriller",Officer on Duty,2025,ml,https://image.tmdb.org/t/p/w500/ucwirgaK4v9ylQyDkwoXJtDIlf7.jpg,Crime|Thriller,IN
286,Day Shift,tt13314558,Day Shift,Yes,2022-08-12,17400000,113,9200000,Day Shift,2022.0,movie,Day Shift,Day Shift,2022,113,"Action,Comedy,Fantasy",Day Shift,2022,en,https://image.tmdb.org/t/p/w500/tkl7n5r542S40hnYDI27lGNCACu.jpg,Action|Fantasy|Horror|Comedy|Thriller,US
287,Friday,tt0113118,Friday (1995),No,,13900000,91,9200000,Friday,1995.0,movie,Friday,Friday,1995,91,"Comedy,Drama",Friday,1995,en,https://image.tmdb.org/t/p/w500/2lReF53F8trkC68piGSfk0JVwWU.jpg,Comedy|Drama,US
293,Meet Joe Black,tt0119643,Meet Joe Black,No,,27200000,178,9100000,Meet Joe Black,1000.0,movie,Meet Joe Black,Meet Joe Black,1998,178,"Drama,Fantasy,Romance",Meet Joe Black,1998,en,https://image.tmdb.org/t/p/w500/fDPAjvfPMomkKF7cMRmL5Anak61.jpg,Fantasy|Drama|Romance,US
289,13 Hours: The Secret Soldiers of Benghazi,tt4172430,13 Hours: The Secret Soldiers of Benghazi,No,,21800000,144,9100000,13 Hours: The Secret Soldiers of Benghazi,1000.0,movie,13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,2016,144,"Action,Drama,History",13 Hours: The Secret Soldiers of Benghazi,2016,en,https://image.tmdb.org/t/p/w500/AskDcQ6Sa6jImyt2KDQbgRuPebH.jpg,War|Action|History|Drama|Thriller,US
295,Shooter,tt0822854,Shooter (2007),No,,19000000,124,9100000,Shooter,2007.0,movie,Shooter,Shooter,2007,124,"Action,Drama,Thriller",Shooter,2007,en,https://image.tmdb.org/t/p/w500/2aWGxo1E5polpBjPvtBRkWp7qaS.jpg,Drama|Action|Thriller,US
296,The Sum of All Fears,tt0164184,The Sum of All Fears,No,,18800000,124,9100000,The Sum of All Fears,1000.0,movie,The Sum of All Fears,The Sum of All Fears,2002,124,"Action,Drama,Thriller",The Sum of All Fears,2002,en,https://image.tmdb.org/t/p/w500/3E4LW4bjRhEMDeeXeIsmkJ94v8K.jpg,Thriller|Action|Drama,CA
294,Meg 2: The Trench,tt9224104,Meg 2: The Trench,No,,17600000,116,9100000,Meg 2: The Trench,1000.0,movie,Meg 2: The Trench,Meg 2: The Trench,2023,116,"Action,Adventure,Horror",Meg 2: The Trench,2023,en,https://image.tmdb.org/t/p/w500/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,Action|Science Fiction|Horror,CN
290,Death Whisperer 2,tt31513578,Death Whisperer 2 // ______ 2,No,,17000000,112,9100000,Death Whisperer 2,1000.0,movie,Death Whisperer 2,Tee yod 2,2024,110,"Action,Horror,Thriller",Death Whisperer 2,2024,th,https://image.tmdb.org/t/p/w500/A0fHnpVX8vYQCmvETllWJQ30Mi6.jpg,Horror|Thriller|Action,TH
291,John Wick,tt2911666,John Wick,No,,15300000,101,9100000,John Wick,1000.0,movie,John Wick,John Wick,2014,101,"Action,Crime,Thriller",John Wick,2014,en,https://image.tmdb.org/t/p/w500/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,Action|Thriller,US
292,Little Man,tt0430304,Little Man (2006),No,,14800000,98,9100000,Little Man,2006.0,movie,Little Man,Little Man,2006,98,"Comedy,Crime",Little Man,2006,en,https://image.tmdb.org/t/p/w500/9KzPw1VN0pMBnq1KIqBaLI8LAB7.jpg,Comedy|Crime,US
297,50 First Dates,tt0343660,50 First Dates,No,,14800000,99,9000000,50 First Dates,1000.0,movie,50 First Dates,50 First Dates,2004,99,"Comedy,Drama,Romance",50 First Dates,2004,en,https://image.tmdb.org/t/p/w500/lzUI2Cg7OMfcUNv3f7MywYNBjs6.jpg,Comedy|Romance,US
300,The SpongeBob Movie: Sponge on the Run,tt4823776,The SpongeBob Movie: Sponge on the Run,No,2020-11-05,14300000,95,9000000,The SpongeBob Movie: Sponge on the Run,2020.0,movie,The SpongeBob Movie: Sponge on the Run,The SpongeBob Movie: Sponge on the Run,2020,91,"Adventure,Animation,Comedy",The SpongeBob Movie: Sponge on the Run,2020,en,https://image.tmdb.org/t/p/w500/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,Family|Comedy|Adventure|Animation,US
299,Just Like Heaven,tt0425123,Just Like Heaven,No,,14200000,95,9000000,Just Like Heaven,1000.0,movie,Just Like Heaven,Just Like Heaven,2005,95,"Comedy,Drama,Fantasy",Just Like Heaven,2005,en,https://image.tmdb.org/t/p/w500/2cLbyVNhEEaUJGg7rfbLtX6454I.jpg,Drama|Comedy|Romance|Fantasy,US
298,Blippi's Big Dino Adventure,tt28752706,Blippi's Big Dino Adventure,Yes,,10100000,67,9000000,Blippi's Big Dino Adventure,1000.0,movie,Blippi's Big Dino Adventure,Blippi's Big Dino Adventure,2023,68,Family,Blippi's Big Dino Adventure,2023,en,https://image.tmdb.org/t/p/w500/74VFjCgAf9ZsVB8XAzADDQ8x3CM.jpg,Family,US
301,"Crazy, Stupid, Love.",tt1570728,"Crazy, Stupid, Love.",No,,17500000,118,8900000,"Crazy, Stupid, Love.",1000.0,movie,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011,118,"Comedy,Drama,Romance","Crazy, Stupid, Love.",2011,en,https://image.tmdb.org/t/p/w500/p4RafgAPk558muOjnBMHhMArjS2.jpg,Comedy|Drama|Romance,US
302,Daaku Maharaaj,tt27957740,Daaku Maharaaj,No,,20900000,147,8800000,Daaku Maharaaj,1000.0,movie,Daaku Maharaaj,Daaku Maharaaj,2025,150,"Action,Adventure,Crime",Daaku Maharaaj,2025,te,https://image.tmdb.org/t/p/w500/rGW9ad5TERuoluGSkgF1wHXP45H.jpg,Action,IN
305,The Shack,tt2872518,The Shack,No,,19500000,132,8800000,The Shack,1000.0,movie,The Shack,The Shack,2017,132,"Drama,Fantasy",The Shack,2017,en,https://image.tmdb.org/t/p/w500/doAzav9kfdtsoSdw1MDFvjKq3J4.jpg,Drama|Family,CA
303,How To Make Millions Before Grandma Dies,tt31392609,How To Make Millions Before Grandma Dies // _______,No,,18700000,126,8800000,How To Make Millions Before Grandma Dies,1000.0,movie,How to Make Millions Before Grandma Dies,Lahn Mah,2024,125,"Comedy,Drama,Family",How to Make Millions Before Grandma Dies,2024,th,https://image.tmdb.org/t/p/w500/9Xa0Grd2jq2lM2gqcoTB4F9TjMd.jpg,Drama,TH
304,Rush Hour 3,tt0293564,Rush Hour 3,No,,13300000,90,8800000,Rush Hour 3,1000.0,movie,Rush Hour 3,Rush Hour 3,2007,91,"Action,Comedy,Crime",Rush Hour 3,2007,en,https://image.tmdb.org/t/p/w500/mp9CzKxLa2i7yblMXUrzVfGqsCo.jpg,Action|Comedy|Crime,US
307,Dragon,tt32080876,Dragon (2025),No,,22300000,157,8700000,Dragon,2025.0,movie,Dragon,Dragon,2025,157,"Comedy,Drama,Romance",Dragon,2025,ta,https://image.tmdb.org/t/p/w500/b77Su1i74L28InBsyaFlfWPDpeE.jpg,Romance|Comedy|Drama,IN
306,A Madea Homecoming,tt14813966,A Madea Homecoming,Yes,2022-02-25,15500000,105,8700000,A Madea Homecoming,2022.0,movie,Tyler Perry's A Madea Homecoming,A Madea Homecoming,2022,105,"Comedy,Drama,Romance",Tyler Perry's A Madea Homecoming,2022,en,https://image.tmdb.org/t/p/w500/fWJXNc0Q0qIXU8O8hcUmH0iCYzu.jpg,Comedy|Drama,US
308,Lost Bullet,tt10456740,Lost Bullet // Balle perdue,Yes,2020-06-19,13600000,92,8700000,Lost Bullet,2020.0,movie,Lost Bullet,Balle perdue,2020,92,"Action,Crime,Thriller",Lost Bullet,2020,fr,https://image.tmdb.org/t/p/w500/qnlChF8U4diiykXQYs1miigGy7t.jpg,Action|Thriller|Crime,BE
313,Spider-Man: No Way Home (Extended Version),tt10872600,Spider-Man: No Way Home (Extended Version),No,,22400000,148,8600000,Spider-Man: No Way Home (Extended Version),1000.0,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy",Spider-Man: No Way Home,2021,en,https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,Action|Adventure|Science Fiction,US
314,The School for Good and Evil,tt2935622,The School for Good and Evil,Yes,2022-10-19,21300000,149,8600000,The School for Good and Evil,2022.0,movie,The School for Good and Evil,The School for Good and Evil,2022,147,"Action,Comedy,Drama",The School for Good and Evil,2022,en,https://image.tmdb.org/t/p/w500/6oZeEu1GDILdwezmZ5e2xWISf1C.jpg,Fantasy|Comedy|Adventure|Drama,US
310,Inside Man,tt0454848,Inside Man (2006),No,,18400000,129,8600000,Inside Man,2006.0,movie,Inside Man,Inside Man,2006,129,"Crime,Drama,Mystery",Inside Man,2006,en,https://image.tmdb.org/t/p/w500/ffMUgkDZICNiyaws1Jkv8qG8uFW.jpg,Crime|Drama|Thriller,US
315,The Tearsmith,tt29114029,The Tearsmith // Fabbricante di lacrime,Yes,2024-04-04,15100000,106,8600000,The Tearsmith,2024.0,movie,The Tearsmith,Fabbricante di lacrime,2024,103,"Drama,Fantasy,Romance",The Tearsmith,2024,it,https://image.tmdb.org/t/p/w500/uoBHsxSgfc3PQsSn98RfnbePHOy.jpg,Romance|Drama,IT
10,"Miraculous: Ladybug & Cat Noir, The Movie",tt10364034,"Miraculous: Ladybug & Cat Noir, The Movie",No,2023-07-28,14600000,100,8600000,"Miraculous: Ladybug & Cat Noir, The Movie",2023.0,movie,"Miraculous: Ladybug & Cat Noir, the Movie",Miraculous - Le film,2023.0,105.0,"Action,Adventure,Animation","Miraculous: Ladybug & Cat Noir, The Movie",2023,fr,https://image.tmdb.org/t/p/w500/dQNJ8SdCMn3zWwHzzQD2xrphR1X.jpg,Animation|Fantasy|Action|Romance|Family,CN
311,Lost Bullet 2,tt14465706,Lost Bullet 2 // Balle perdue 2,Yes,2022-11-10,14300000,98,8600000,Lost Bullet 2,2022.0,movie,Lost Bullet 2: Back for More,Balle perdue 2,2022,98,"Action,Crime,Thriller",Lost Bullet 2,2022,fr,https://image.tmdb.org/t/p/w500/uAeZI1JJbLPq7Bu5dziH7emHeu7.jpg,Action|Crime|Thriller,BE
309,Captain Underpants: The First Epic Movie,tt2091256,Captain Underpants: The First Epic Movie,No,,12700000,89,8600000,Captain Underpants: The First Epic Movie,1000.0,movie,Captain Underpants: The First Epic Movie,Captain Underpants: The First Epic Movie,2017,89,"Action,Adventure,Animation",Captain Underpants: The First Epic Movie,2017,en,https://image.tmdb.org/t/p/w500/vKSmaPct5OEeMoD8ue30RisHlKD.jpg,Family|Comedy|Animation|Science Fiction,US
321,Spider-Man: Across the Spider-Verse,tt9362722,Spider-Man: Across the Spider-Verse,No,,19800000,140,8500000,Spider-Man: Across the Spider-Verse,1000.0,movie,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,2023,140,"Action,Adventure,Animation",Spider-Man: Across the Spider-Verse,2023,en,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,Animation|Action|Adventure|Science Fiction,US
317,In the Heart of the Sea,tt1390411,In the Heart of the Sea,No,,17300000,122,8500000,In the Heart of the Sea,1000.0,movie,In the Heart of the Sea,In the Heart of the Sea,2015,122,"Action,Adventure,Biography",In the Heart of the Sea,2015,en,https://image.tmdb.org/t/p/w500/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,Thriller|Drama|Adventure|Action|History,ES
316,Colombiana,tt1657507,Colombiana,No,,15800000,108,8500000,Colombiana,1000.0,movie,Colombiana,Colombiana,2011,108,"Action,Crime,Drama",Colombiana,2011,en,https://image.tmdb.org/t/p/w500/rEdGDgRB3gducezNSIyx2lbKQy4.jpg,Action|Thriller|Crime|Drama,FR
318,Non-Stop,tt2024469,Non-Stop (2014),No,,15200000,107,8500000,Non-Stop,2014.0,movie,Non-Stop,Non-Stop,2014,106,"Action,Mystery,Thriller",Non-Stop,2014,en,https://image.tmdb.org/t/p/w500/Nkgaj3X0W2jHQ1TzHEgWFpN3kJ.jpg,Action|Thriller|Mystery,FR
320,Paddington in Peru,tt5822536,Paddington in Peru,No,,15000000,106,8500000,Paddington in Peru,1000.0,movie,Paddington in Peru,Paddington in Peru,2024,106,"Adventure,Comedy,Family",Paddington in Peru,2024,en,https://image.tmdb.org/t/p/w500/1ffZAucqfvQu36x1C49XfOdjuOG.jpg,Family|Comedy|Adventure,GB
319,Over the Moon,tt7488208,Over the Moon,Yes,2020-10-23,14300000,95,8500000,Over the Moon,2020.0,movie,Over the Moon,Over the Moon,2020,95,"Adventure,Animation,Comedy",Over the Moon,2020,en,https://image.tmdb.org/t/p/w500/lG0TF0wj1n9p9CPy5xlIUIkF56a.jpg,Animation|Adventure|Family|Fantasy,CN
327,The Lovely Bones,tt0380510,The Lovely Bones,No,,19100000,136,8400000,The Lovely Bones,1000.0,movie,The Lovely Bones,The Lovely Bones,2009,135,"Drama,Fantasy,Thriller",The Lovely Bones,2009,en,https://image.tmdb.org/t/p/w500/sn0iDphRxQ7I6aLd9igIgACITak.jpg,Fantasy|Drama,GB
324,Now You See Me 2,tt3110958,Now You See Me 2,No,,18000000,129,8400000,Now You See Me 2,1000.0,movie,Now You See Me 2,Now You See Me 2,2016,129,"Action,Adventure,Comedy",Now You See Me 2,2016,en,https://image.tmdb.org/t/p/w500/A81kDB6a1K86YLlcOtZB27jriJh.jpg,Thriller|Crime,HK
328,Us,tt6857112,Us (2019),No,,16300000,116,8400000,Us,2019.0,movie,Us,Us,2019,116,"Horror,Mystery,Thriller",Us,2019,en,https://image.tmdb.org/t/p/w500/ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg,Horror|Mystery,US
323,Let Go,tt27410895,Let Go // Slpp taget,Yes,2024-11-01,15400000,110,8400000,Let Go,2024.0,movie,Let Go,Släpp taget,2024,110,Drama,Let Go,2024,sv,https://image.tmdb.org/t/p/w500/hIJRqqAaMUtQ13mZL6lCE6myhXH.jpg,Drama,SE
322,Black and Blue,tt7390646,Black and Blue (2019),No,,15100000,109,8400000,Black and Blue,2019.0,movie,Black and Blue,Black and Blue,2019,108,"Action,Thriller",Black and Blue,2019,en,https://image.tmdb.org/t/p/w500/1cSHEKYYP8Dpi4o1iBVd4U75FYt.jpg,Action|Crime|Drama|Thriller,US
325,Paul,tt1092026,Paul (2011),No,,14600000,104,8400000,Paul,2011.0,movie,Paul,Paul,2011,104,"Adventure,Comedy,Sci-Fi",Paul,2011,en,https://image.tmdb.org/t/p/w500/bX8TP2qRWh2OcmeUHGn1ENDkCu6.jpg,Adventure|Comedy|Science Fiction,GB
326,Sniper: Ghost Shooter,tt5090828,Sniper: Ghost Shooter,No,,13800000,100,8400000,Sniper: Ghost Shooter,1000.0,video,Sniper: Ghost Shooter,Sniper: Ghost Shooter,2016,99,"Action,Drama,Thriller",Sniper: Ghost Shooter,2016,en,https://image.tmdb.org/t/p/w500/92YFviTZnjA6rj2jADoA2gmsjsz.jpg,Action|Drama|War,US
11,Roald Dahl's Matilda The Musical,tt3447590,Roald Dahl's Matilda The Musical,No,2022-12-25,16800000,117,8300000,Roald Dahl's Matilda The Musical,2022.0,movie,Matilda: The Musical,Matilda: The Musical,2022.0,117.0,"Comedy,Drama,Family",Roald Dahl's Matilda the Musical,2022,en,https://image.tmdb.org/t/p/w500/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg,Family|Comedy|Fantasy,GB
331,The Deliverance,tt4196566,The Deliverance,Yes,2024-08-30,15700000,111,8300000,The Deliverance,2024.0,movie,The Deliverance,The Deliverance,2024,112,"Drama,Horror,Mystery",The Deliverance,2024,en,https://image.tmdb.org/t/p/w500/og1FteMFRInoQnlZeWqEn8XpXHh.jpg,Horror|Thriller,US
329,Heart of the Hunter,tt28943278,Heart of the Hunter,Yes,2024-03-29,14800000,108,8300000,Heart of the Hunter,2024.0,movie,Heart of the Hunter,Heart of the Hunter,2024,105,"Action,Thriller",Heart of the Hunter,2024,en,https://image.tmdb.org/t/p/w500/n726fdyL1dGwt15bY7Nj3XOXc4Q.jpg,Action,ZA
332,The Watchers,tt26736843,The Watchers,No,,14100000,102,8300000,The Watchers,1000.0,movie,The Watchers,The Watchers,2024,102,"Fantasy,Horror,Mystery",The Watchers,2024,en,https://image.tmdb.org/t/p/w500/vZVEUPychdvZLrTNwWErr9xZFmu.jpg,Fantasy|Horror|Mystery,US
333,The Witcher: Sirens of the Deep,tt15495150,The Witcher: Sirens of the Deep,Yes,2025-02-11,12700000,92,8300000,The Witcher: Sirens of the Deep,2025.0,movie,The Witcher: Sirens of the Deep,The Witcher: Sirens of the Deep,2025,91,"Action,Adventure,Animation",The Witcher: Sirens of the Deep,2025,en,https://image.tmdb.org/t/p/w500/y0pR5aBVvPn5uncaZjl94ZEnuEF.jpg,Animation|Fantasy|Action,PL
337,Gods of Egypt,tt2404233,Gods of Egypt,No,,17400000,127,8200000,Gods of Egypt,1000.0,movie,Gods of Egypt,Gods of Egypt,2016,127,"Action,Adventure,Drama",Gods of Egypt,2016,en,https://image.tmdb.org/t/p/w500/hzH7fwaTyQNITLo40Hu3R7cVMqv.jpg,Action|Adventure|Fantasy,AU
338,The Wolf and the Lion,tt10945288,The Wolf and the Lion,No,,13700000,99,8200000,The Wolf and the Lion,1000.0,movie,The Wolf and the Lion,Le loup et le lion,2021,99,"Adventure,Drama,Family",The Wolf and the Lion,2021,en,https://image.tmdb.org/t/p/w500/x3JsrunysUwsIV9XS7hQtZG4knm.jpg,Family|Adventure|Drama,CA
334,Are We Done Yet?,tt0422774,Are We Done Yet? (2007),No,,12500000,92,8200000,Are We Done Yet?,2007.0,movie,Are We Done Yet?,Are We Done Yet?,2007,92,"Comedy,Family",Are We Done Yet?,2007,en,https://image.tmdb.org/t/p/w500/uZ9NZh4zB80phMxo5PucFyWagjG.jpg,Family|Comedy,US
336,Don't Die: The Man Who Wants to Live Forever,tt34977130,Don't Die: The Man Who Wants to Live Forever,Yes,2025-01-01,12300000,88,8200000,Don't Die: The Man Who Wants to Live Forever,2025.0,movie,Don't Die: The Man Who Wants to Live Forever,Don't Die: The Man Who Wants to Live Forever,2025,88,Documentary,Don't Die: The Man Who Wants to Live Forever,2025,en,https://image.tmdb.org/t/p/w500/2M0CF7UsbpQ45xGuVRhExAhUWBj.jpg,Documentary,US
335,Barbie Dolphin Magic,tt7130740,Barbie Dolphin Magic,No,,8700000,63,8200000,Barbie Dolphin Magic,1000.0,video,Barbie: Dolphin Magic,Barbie: Dolphin Magic,2017,61,"Adventure,Animation,Family",Barbie: Dolphin Magic,2017,en,https://image.tmdb.org/t/p/w500/c8Bb9MnvkNTKstQSKixO4dWaUhL.jpg,Animation|Adventure|Family|Fantasy,CA
340,Bhool Bhulaiyaa 3,tt26932223,Bhool Bhulaiyaa 3 // ___ ______ 3,No,,21200000,158,8100000,Bhool Bhulaiyaa 3,1000.0,movie,Bhool Bhulaiyaa 3,Bhool Bhulaiyaa 3,2024,158,"Comedy,Fantasy,Horror",Bhool Bhulaiyaa 3,2024,hi,https://image.tmdb.org/t/p/w500/3AfHD1HoaQpQwKH8kxRdBKVmzeU.jpg,Horror|Comedy,IN
341,Gladiator,tt0172495,Gladiator (2000),No,,20800000,155,8100000,Gladiator,2000.0,movie,Gladiator,Gladiator,2000,155,"Action,Adventure,Drama",Gladiator,2000,en,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,Action|Drama|Adventure,GB
343,The Karate Kid,tt1155076,The Karate Kid (2010),No,,18800000,140,8100000,The Karate Kid,2010.0,movie,The Karate Kid,The Karate Kid,2010,140,"Action,Drama,Family",The Karate Kid,2010,en,https://image.tmdb.org/t/p/w500/b1RBy3l297N0c7PHjlz35cClWju.jpg,Action|Adventure|Drama|Family,CN
342,The Forge,tt26731216,The Forge,No,,16700000,123,8100000,The Forge,1000.0,movie,The Forge,The Forge,2024,124,"Drama,Family",The Forge,2024,en,https://image.tmdb.org/t/p/w500/oranxontIQRmhuyQlkoAwxpeBYz.jpg,Drama|Family,US
339,Anuja,tt27654431,Anuja // _____,Yes,2025-02-05,3100000,23,8100000,Anuja,2025.0,short,Anuja,Anuja,2024,22,"Drama,Short",Anuja,2024,en,https://image.tmdb.org/t/p/w500/84YVJuVaJ0tlo244eRUTNdIe9uL.jpg,Drama,US
344,Harry Potter and the Sorcerer's Stone,tt0241527,Harry Potter and the Sorcerer's Stone,No,,20300000,152,8000000,Harry Potter and the Sorcerer's Stone,1000.0,movie,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure,Family,Fantasy",Harry Potter and the Philosopher's Stone,2001,en,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,Adventure|Fantasy,GB
346,To All The Boys: Always And Forever,tt10676012,To All The Boys: Always And Forever,Yes,2021-02-12,15400000,115,8000000,To All The Boys: Always And Forever,2021.0,movie,To All the Boys: Always and Forever,To All the Boys: Always and Forever,2021,116,"Comedy,Drama,Romance",To All the Boys: Always and Forever,2021,en,https://image.tmdb.org/t/p/w500/iepqdM52f4w75fNcvgRF5QoIAjm.jpg,Romance|Comedy|Drama,US
12,Vanished into the Night,tt14034294,Vanished into the Night // Svaniti nella notte,Yes,2024-07-11,12400000,93,8000000,Vanished into the Night,2024.0,movie,Vanished Into the Night,Svaniti nella notte,2024.0,92.0,"Drama,Thriller",Vanished into the Night,2024,it,https://image.tmdb.org/t/p/w500/f83MF5KVFRs5zuFCPlb6UQV1Yo9.jpg,Thriller|Mystery|Drama,IT
345,My Name Is Vendetta,tt15229674,My Name Is Vendetta // Il Mio Nome  Vendetta,Yes,2022-11-30,12200000,90,8000000,My Name Is Vendetta,2022.0,movie,My Name Is Vendetta,Il mio nome è vendetta,2022,90,"Action,Crime,Drama",My Name Is Vendetta,2022,it,https://image.tmdb.org/t/p/w500/7l3war94J4tRyWUiLAGokr3ViF2.jpg,Action|Crime|Adventure|Thriller,IT
352,Scarface,tt0086250,Scarface,No,,22300000,170,7900000,Scarface,1000.0,movie,Scarface,Scarface,1983,170,"Crime,Drama",Scarface,1983,en,https://image.tmdb.org/t/p/w500/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,Action|Crime|Drama,US
349,Jurassic World: Fallen Kingdom,tt4881806,Jurassic World: Fallen Kingdom,No,,16900000,129,7900000,Jurassic World: Fallen Kingdom,1000.0,movie,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018,128,"Action,Adventure,Sci-Fi",Jurassic World: Fallen Kingdom,2018,en,https://image.tmdb.org/t/p/w500/x8cLgs0uXlb9rmpuVIxopoRGnCr.jpg,Action|Adventure|Science Fiction|Thriller,US
354,The Valet,tt4081630,The Valet (2022),No,,16200000,124,7900000,The Valet,2022.0,movie,The Valet,The Valet,2022,124,"Comedy,Drama,Romance",The Valet,2022,en,https://image.tmdb.org/t/p/w500/q7FmdJHKMLIC4XgWfcFRIu2iVdL.jpg,Comedy|Romance,US
356,Wonka,tt6166392,Wonka,No,,15300000,117,7900000,Wonka,1000.0,movie,Wonka,Wonka,2023,116,"Adventure,Comedy,Family",Wonka,2023,en,https://image.tmdb.org/t/p/w500/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,Comedy|Family|Fantasy,GB
350,Justice,tt32245158,Justice // Napad,Yes,2024-10-16,15200000,114,7900000,Justice,2024.0,movie,Justice,Napad,2024,113,"Crime,Drama",Justice,2024,pl,https://image.tmdb.org/t/p/w500/zrzKoiLUdKuKqtYOKS2orLRoUhv.jpg,Crime|Drama,PL
